Fecha,IMAE
01-01-2006, 100.0 
01-02-2006, 92.7 
01-03-2006, 100.5 
01-04-2006, 90.3 
01-05-2006, 99.3 
01-06-2006, 99.3 
01-07-2006, 102.6 
01-08-2006, 101.8 
01-09-2006, 95.9 
01-10-2006, 101.1 
01-11-2006, 103.1 
01-12-2006, 113.4 
01-01-2007, 103.1 
01-02-2007, 95.5 
01-03-2007, 104.9 
01-04-2007, 95.2 
01-05-2007, 105.5 
01-06-2007, 102.0 
01-07-2007, 110.7 
01-08-2007, 106.7 
01-09-2007, 98.7 
01-10-2007, 108.1 
01-11-2007, 110.9 
01-12-2007, 119.5 
01-01-2008, 111.4 
01-02-2008, 104.9 
01-03-2008, 104.5 
01-04-2008, 109.4 
01-05-2008, 108.6 
01-06-2008, 107.7 
01-07-2008, 114.5 
01-08-2008, 109.1 
01-09-2008, 104.9 
01-10-2008, 107.6 
01-11-2008, 103.2 
01-12-2008, 118.3 
01-01-2009, 105.1 
01-02-2009, 99.8 
01-03-2009, 99.7 
01-04-2009, 97.8 
01-05-2009, 105.2 
01-06-2009, 103.0 
01-07-2009, 111.3 
01-08-2009, 106.1 
01-09-2009, 100.9 
01-10-2009, 103.0 
01-11-2009, 109.2 
01-12-2009, 120.2 
01-01-2010, 107.2 
01-02-2010, 102.2 
01-03-2010, 106.0 
01-04-2010, 100.1 
01-05-2010, 108.3 
01-06-2010, 107.6 
01-07-2010, 116.5 
01-08-2010, 110.9 
01-09-2010, 106.4 
01-10-2010, 110.0 
01-11-2010, 116.7 
01-12-2010, 124.8 
01-01-2011, 113.0 
01-02-2011, 105.7 
01-03-2011, 114.9 
01-04-2011, 106.2 
01-05-2011, 118.5 
01-06-2011, 115.9 
01-07-2011, 126.2 
01-08-2011, 118.6 
01-09-2011, 112.8 
01-10-2011, 113.7 
01-11-2011, 126.1 
01-12-2011, 128.5 
01-01-2012, 128.4 
01-02-2012, 116.9 
01-03-2012, 118.5 
01-04-2012, 112.4 
01-05-2012, 126.0 
01-06-2012, 117.7 
01-07-2012, 130.5 
01-08-2012, 124.2 
01-09-2012, 117.3 
01-10-2012, 126.2 
01-11-2012, 130.6 
01-12-2012, 142.3 
01-01-2013, 132.2 
01-02-2013, 122.6 
01-03-2013, 122.2 
01-04-2013, 126.6 
01-05-2013, 132.6 
01-06-2013, 122.8 
01-07-2013, 138.4 
01-08-2013, 130.5 
01-09-2013, 125.2 
01-10-2013, 130.0 
01-11-2013, 133.9 
01-12-2013, 147.4 
01-01-2014, 135.7 
01-02-2014, 130.1 
01-03-2014, 131.9 
01-04-2014, 128.6 
01-05-2014, 138.7 
01-06-2014, 129.5 
01-07-2014, 143.9 
01-08-2014, 133.5 
01-09-2014, 131.4 
01-10-2014, 137.4 
01-11-2014, 141.4 
01-12-2014, 157.2 
01-01-2015, 140.6 
01-02-2015, 134.5 
01-03-2015, 138.1 
01-04-2015, 130.6 
01-05-2015, 142.8 
01-06-2015, 133.6 
01-07-2015, 151.0 
01-08-2015, 141.9 
01-09-2015, 140.9 
01-10-2015, 148.2 
01-11-2015, 150.8 
01-12-2015, 164.9 
01-01-2016, 146.7 
01-02-2016, 140.9 
01-03-2016, 142.2 
01-04-2016, 140.2 
01-05-2016, 152.2 
01-06-2016, 143.0 
01-07-2016, 155.6 
01-08-2016, 150.0 
01-09-2016, 143.6 
01-10-2016, 150.8 
01-11-2016, 157.7 
01-12-2016, 173.4 
01-01-2017, 158.8 
01-02-2017, 149.4 
01-03-2017, 153.7 
01-04-2017, 143.6 
01-05-2017, 159.0 
01-06-2017, 149.3 
01-07-2017, 161.7 
01-08-2017, 154.7 
01-09-2017, 147.6 
01-10-2017, 156.5 
01-11-2017, 167.0 
01-12-2017, 178.1 
01-01-2018, 164.0 
01-02-2018, 153.6 
01-03-2018, 157.4 
01-04-2018, 149.5 
01-05-2018, 150.7 
01-06-2018, 130.2 
01-07-2018, 153.7 
01-08-2018, 149.5 
01-09-2018, 141.1 
01-10-2018, 144.5 
01-11-2018, 155.9 
01-12-2018, 166.3 
01-01-2019, 152.8 
01-02-2019, 138.7 
01-03-2019, 140.6 
01-04-2019, 137.5 
01-05-2019, 143.0 
01-06-2019, 133.8 
01-07-2019, 149.8 
01-08-2019, 143.4 
01-09-2019, 137.8 
01-10-2019, 147.2 
01-11-2019, 157.6 
01-12-2019, 167.4 
01-01-2020, 152.9 
01-02-2020, 144.1 
01-03-2020, 140.1 
01-04-2020, 124.7 
01-05-2020, 133.8 
01-06-2020, 128.8 
01-07-2020, 147.5 
01-08-2020, 138.5 
01-09-2020, 140.0 
01-10-2020, 148.5 
01-11-2020, 148.8 
01-12-2020, 167.2 
01-01-2021, 154.7 
01-02-2021, 147.4 
01-03-2021, 151.4 
01-04-2021, 144.2 
01-05-2021, 156.1 
01-06-2021, 151.7 
01-07-2021, 160.4 
01-08-2021, 151.8 
01-09-2021, 147.6 
,
,
,
,
